id,name,birthdate,gender,race,net_income,region,average_grades,num_bathrooms,distance_from_school,dropout
1,Camila Ribeiro,2001-03-03,Female,White,1679.11,East,6.92,1,5.45,1
2,João Costa,2008-12-26,Male,White,2760.37,East,6.4,1,2.64,0
3,Maria Silva,2003-05-02,Female,White,2037.82,East,6.47,1,1.74,1
4,José Silva,2008-07-27,Male,Brown,3801.49,Center,0.94,3,9.2,0
5,Carla Pereira,2005-09-04,Female,White,1481.57,West,5.04,2,4.98,1
6,Clara Oliveira,2000-05-12,Female,White,2860.21,North,0.44,1,9.26,1
7,Camila Oliveira,2004-05-07,Female,Black,4504.51,Center,3.91,2,0.56,1
8,Ana Pereira,2005-12-07,Female,Brown,1918.57,East,7.33,1,9.83,0
9,Pedro Costa,2005-11-21,Male,White,2910.6,North,4.75,3,2.12,1
10,José Ferreira,2002-07-17,Female,White,3691.14,West,2.68,1,6.84,0
11,Maria Oliveira,2007-12-03,Male,Brown,4050.1,West,3.51,2,5.07,0
12,Ana Souza,2003-01-21,Male,White,961.63,North,1.82,1,0.84,1
13,Clara Silva,2005-12-08,Male,White,5945.04,South,7.88,2,13.87,0
14,Maria Santos,2002-01-02,Male,Brown,4149.83,West,9.27,2,1.74,0
15,Lucas Martins,2007-03-08,Male,White,2646.5,Center,9.73,2,13.5,0
16,Camila Souza,2001-12-22,Female,Black,3581.23,West,3.96,1,5.69,1
17,Lucas Ribeiro,2001-12-28,Female,Brown,-510.83,North,3.9,3,6.1,0
18,Carla Oliveira,2002-06-04,Female,White,1405.63,East,9.22,1,2.39,0
19,Camila Silva,2001-05-23,Male,Brown,4253.18,East,3.77,1,14.09,1
20,Camila Ferreira,2004-10-10,Male,White,2706.42,East,0.5,3,13.17,1
21,Camila Costa,2005-05-25,Female,Brown,1712.4,East,8.43,1,13.65,1
22,Camila Martins,2008-08-14,Male,Brown,2343.49,Center,2.03,1,6.93,1
23,João Ferreira,2002-04-09,Female,Brown,4859.2,South,6.03,1,4.02,1
24,Camila Oliveira,2004-04-05,Male,White,2684.98,West,2.26,2,9.08,1
25,Paulo Silva,2008-06-13,Male,Black,2749.9,East,4.87,1,13.34,1
26,Pedro Santos,2009-11-05,Male,White,2161.49,South,0.3,1,2.14,0
27,Carla Oliveira,2004-09-05,Male,Brown,4873.57,Center,2.74,1,11.16,1
28,Paulo Costa,2009-09-05,Male,Brown,3068.93,South,3.89,1,4.98,0
29,José Ferreira,2006-05-08,Female,Brown,2996.98,East,7.88,2,5.17,0
30,Maria Martins,2001-12-05,Male,Brown,4130.62,Center,6.99,1,6.39,0
31,Lucas Souza,2004-03-14,Female,White,2135.3,Center,0.34,1,14.79,1
32,Camila Lima,2000-02-02,Female,White,2221.94,Center,0.28,1,9.79,0
33,Pedro Oliveira,2009-03-06,Female,Brown,1900.2,West,3.73,1,11.39,1
34,Ana Lima,2004-01-25,Male,White,3127.0,West,2.91,2,3.77,0
35,Carla Santos,2000-06-26,Male,White,1409.45,North,1.91,1,14.8,1
36,Camila Silva,2002-07-15,Female,White,953.7,South,0.29,1,2.8,1
37,Carla Silva,2000-08-26,Male,White,425.65,West,4.96,2,13.17,1
38,Ana Lima,2002-11-26,Female,Brown,4368.27,Center,9.69,2,5.11,0
39,Carla Lima,2007-06-05,Male,White,1786.81,East,8.65,1,13.33,0
